student_id,Object Oriented Programming through Java_mark,lag_Object Oriented Programming through Java,Operating Systems_mark,lag_Operating Systems,Computer Organization and Architecture_mark,lag_Computer Organization and Architecture,Data Structures_mark,lag_Data Structures,"Probability, Statistics and Queuing Theory_mark","lag_Probability, Statistics and Queuing Theory"
861,28.73,0,11.4,1,0.34,1,16.34,0,6.46,1
862,22.42,0,27.68,0,19.45,0,17.32,0,24.73,0
863,25.92,0,16.84,0,25.45,0,5.65,1,3.47,1
864,3.59,1,16.86,0,4.23,1,9.94,1,12.33,1
865,22.43,0,23.18,0,11.14,1,29.22,0,25.96,0
866,25.45,0,14.13,1,12.64,1,26.89,0,3.84,1
867,27.14,0,2.01,1,9.1,1,16.15,0,21.62,0
868,8.51,1,6.59,1,29.56,0,2.6,1,17.09,0
869,25.97,0,9.64,1,16.12,0,11.31,1,12.7,1
870,18.09,0,5.49,1,2.35,1,17.35,0,29.08,0
871,0.22,1,21.2,0,5.01,1,8.66,1,18.86,0
872,1.76,1,14.31,1,9.38,1,9.17,1,4.65,1
873,6.36,1,2.57,1,23.07,0,10.21,1,27.93,0
874,3.82,1,1.71,1,28.9,0,12.61,1,21.48,0
875,7.86,1,0.17,1,11.65,1,19.02,0,24.53,0
876,16.45,0,16.62,0,25.35,0,22.62,0,19.07,0
877,10.73,1,3.72,1,29.63,0,2.85,1,15.46,0
878,2.72,1,26.8,0,23.86,0,19.63,0,10.89,1
879,3.19,1,26.52,0,0.68,1,10.54,1,27.31,0
880,5.41,1,22.83,0,10.63,1,29.54,0,22.08,0
881,17.95,0,12.51,1,14.46,1,5.5,1,29.75,0
882,14.55,1,28.27,0,1.37,1,0.31,1,14.69,1
883,24.77,0,5.97,1,29.16,0,1.86,1,16.4,0
884,22.4,0,28.44,0,23.76,0,28.72,0,29.48,0
885,15.17,0,19.69,0,14.49,1,1.21,1,3.73,1
886,12.8,1,23.12,0,4.18,1,7.59,1,2.41,1
887,15.91,0,6.02,1,4.24,1,18.94,0,23.89,0
888,20.9,0,8.26,1,25.22,0,17.76,0,0.95,1
889,6.76,1,6.58,1,0.67,1,26.15,0,0.28,1
890,4.03,1,5.01,1,6.07,1,29.83,0,9.23,1
891,19.97,0,5.8,1,18.36,0,3.46,1,11.32,1
892,24.14,0,7.68,1,21.76,0,1.21,1,0.55,1
893,7.21,1,23.84,0,27.6,0,27.68,0,17.6,0
894,9.31,1,26.3,0,10.43,1,29.74,0,11.65,1
895,16.72,0,29.59,0,9.57,1,26.57,0,4.83,1
896,17.09,0,14.64,1,12.66,1,15.58,0,7.74,1
897,26.43,0,4.12,1,14.56,1,13.97,1,23.78,0
898,10.75,1,17.42,0,2.21,1,17.87,0,10.29,1
899,28.6,0,20.57,0,9.01,1,29.54,0,11.72,1
900,8.43,1,10.37,1,10.06,1,13.17,1,5.81,1
901,15.12,0,5.15,1,23.04,0,1.96,1,13.17,1
902,27.85,0,26.43,0,8.85,1,18.43,0,6.79,1
903,18.76,0,17.88,0,8.35,1,26.64,0,25.06,0
904,21.7,0,21.6,0,24.09,0,4.77,1,2.38,1
905,0.6,1,8.2,1,18.22,0,8.5,1,11.43,1
906,12.32,1,3.76,1,12.82,1,6.9,1,13.13,1
907,10.32,1,17.87,0,18.68,0,1.38,1,19.53,0
908,22.71,0,8.05,1,5.97,1,6.36,1,17.43,0
909,3.14,1,28.25,0,11.57,1,4.65,1,20.13,0
910,23.85,0,19.19,0,19.08,0,4.19,1,27.97,0
911,24.52,0,18.99,0,1.74,1,19.3,0,24.41,0
912,23.33,0,10.75,1,21.43,0,29.91,0,25.25,0
913,23.07,0,5.83,1,9.03,1,9.88,1,5.67,1
914,3.77,1,8.58,1,6.15,1,12.0,1,1.98,1
915,10.03,1,21.3,0,20.9,0,6.27,1,22.58,0
916,20.53,0,9.94,1,24.44,0,28.33,0,23.27,0
917,22.05,0,11.41,1,17.64,0,4.12,1,27.05,0
918,11.21,1,8.12,1,6.81,1,4.97,1,15.23,0
919,17.85,0,24.12,0,22.53,0,16.65,0,2.77,1
920,13.05,1,20.58,0,16.09,0,12.86,1,3.55,1
921,28.61,0,28.43,0,21.55,0,28.04,0,16.46,0
922,15.42,0,17.99,0,10.84,1,2.96,1,10.4,1
923,4.77,1,20.43,0,18.55,0,18.89,0,24.46,0
924,0.75,1,3.89,1,9.86,1,11.95,1,8.29,1
925,21.26,0,16.78,0,10.68,1,24.16,0,17.24,0
926,19.88,0,4.98,1,5.23,1,16.03,0,27.66,0
927,29.28,0,13.59,1,21.12,0,23.31,0,13.9,1
928,23.74,0,29.63,0,22.1,0,17.66,0,28.09,0
929,4.83,1,21.28,0,28.77,0,2.96,1,17.38,0
930,15.65,0,0.08,1,9.36,1,10.69,1,1.71,1
931,26.45,0,4.13,1,8.73,1,6.55,1,12.36,1
932,27.78,0,22.61,0,21.08,0,7.14,1,12.12,1
933,13.95,1,15.66,0,2.08,1,1.47,1,24.56,0
934,20.02,0,7.7,1,28.45,0,1.22,1,27.86,0
935,0.49,1,2.8,1,7.48,1,19.75,0,17.74,0
936,25.68,0,20.13,0,25.81,0,10.35,1,14.49,1
937,16.33,0,21.83,0,6.78,1,22.88,0,28.84,0
938,11.51,1,14.51,1,5.46,1,1.06,1,10.8,1
939,28.17,0,4.92,1,12.36,1,12.29,1,15.15,0
940,3.94,1,27.02,0,7.46,1,27.35,0,23.92,0
941,1.92,1,25.28,0,25.35,0,3.05,1,17.63,0
942,22.65,0,14.73,1,16.91,0,4.74,1,8.3,1
943,27.94,0,1.77,1,19.51,0,21.35,0,28.56,0
944,13.29,1,29.94,0,7.08,1,3.57,1,21.25,0
945,5.86,1,25.75,0,3.09,1,9.72,1,2.46,1
946,9.71,1,13.33,1,6.91,1,5.84,1,18.66,0
947,13.54,1,23.85,0,9.68,1,13.77,1,23.01,0
948,4.54,1,19.96,0,5.39,1,4.25,1,27.62,0
949,12.01,1,20.54,0,22.67,0,28.42,0,22.62,0
950,17.61,0,13.9,1,14.27,1,9.7,1,22.73,0
951,19.02,0,19.44,0,19.75,0,1.12,1,13.35,1
952,26.21,0,15.15,0,19.35,0,18.39,0,3.6,1
953,29.32,0,17.07,0,27.91,0,13.91,1,19.06,0
954,12.52,1,5.07,1,11.85,1,13.68,1,4.13,1
955,27.14,0,27.01,0,3.48,1,12.1,1,24.28,0
956,13.55,1,1.37,1,21.43,0,2.81,1,7.61,1
957,14.36,1,29.71,0,26.73,0,6.09,1,3.16,1
958,26.15,0,17.7,0,5.76,1,4.16,1,10.9,1
959,29.28,0,3.28,1,13.67,1,22.21,0,6.34,1
960,14.01,1,9.41,1,4.48,1,1.98,1,14.84,1
961,10.02,1,26.03,0,9.47,1,23.38,0,6.09,1
962,0.67,1,7.51,1,19.58,0,7.31,1,15.89,0
963,14.09,1,8.92,1,9.77,1,13.95,1,3.59,1
964,17.28,0,2.83,1,22.02,0,4.29,1,3.11,1
965,9.86,1,14.73,1,20.39,0,17.34,0,18.45,0
966,17.42,0,20.52,0,0.55,1,24.83,0,6.44,1
967,12.05,1,0.23,1,1.03,1,3.23,1,23.33,0
968,25.59,0,21.83,0,6.13,1,22.29,0,16.45,0
969,6.91,1,21.44,0,0.44,1,29.2,0,27.99,0
970,3.56,1,28.2,0,5.27,1,17.99,0,6.4,1
971,10.72,1,11.22,1,10.68,1,16.56,0,10.78,1
972,5.66,1,1.7,1,18.03,0,5.4,1,13.26,1
973,1.8,1,29.7,0,7.85,1,19.86,0,18.58,0
974,16.33,0,23.45,0,25.33,0,18.23,0,5.21,1
975,29.88,0,13.04,1,3.91,1,18.1,0,2.88,1
976,26.7,0,25.05,0,26.59,0,21.38,0,19.58,0
977,26.33,0,29.92,0,16.68,0,18.46,0,21.93,0
978,19.01,0,0.73,1,26.83,0,11.26,1,28.63,0
979,3.69,1,3.91,1,8.22,1,29.89,0,21.03,0
980,0.52,1,14.63,1,23.37,0,3.47,1,14.9,1
981,0.39,1,15.67,0,15.09,0,22.06,0,24.08,0
982,2.05,1,29.96,0,15.16,0,10.4,1,14.92,1
983,0.33,1,3.3,1,16.58,0,16.03,0,18.62,0
984,22.36,0,28.34,0,9.67,1,17.22,0,1.09,1
985,20.52,0,2.03,1,22.39,0,10.31,1,19.39,0
986,21.74,0,0.85,1,23.7,0,21.24,0,7.01,1
987,1.0,1,24.37,0,5.66,1,26.8,0,18.61,0
988,14.91,1,12.19,1,24.79,0,5.71,1,2.08,1
989,7.23,1,18.56,0,7.74,1,26.84,0,6.91,1
990,4.02,1,17.47,0,11.41,1,7.73,1,12.33,1
991,12.49,1,25.69,0,1.45,1,20.96,0,10.14,1
992,28.28,0,9.64,1,4.89,1,2.38,1,8.1,1
993,24.04,0,20.75,0,3.73,1,26.06,0,0.84,1
994,18.79,0,12.44,1,23.83,0,13.03,1,0.59,1
995,9.05,1,13.92,1,6.49,1,9.9,1,18.49,0
996,12.32,1,20.76,0,24.62,0,20.1,0,28.12,0
997,3.21,1,26.61,0,18.8,0,11.57,1,24.98,0
998,24.45,0,5.46,1,16.66,0,6.78,1,25.75,0
999,25.14,0,19.31,0,23.27,0,4.84,1,4.13,1
1000,2.34,1,10.7,1,29.82,0,15.57,0,28.12,0
